,Unnamed: 0,#,Name,Team,W,L,ERA,G,GS,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,Year
671,673,672,Luke Weaver,- - -,3,6,6.4,29,25,0,0,0,0,0,123.2,563,155,90,88,29,40,0,4,3,0,109,2023
676,678,677,Joan Adon,WSN,2,4,6.45,12,10,0,0,0,0,0,51.2,240,60,37,37,8,24,3,3,6,0,48,2023
677,679,678,Jose Urena,- - -,0,7,6.45,10,10,0,0,0,0,0,44.2,203,50,37,32,13,22,0,1,2,0,29,2023
679,681,680,Noah Syndergaard,- - -,2,6,6.5,18,18,0,0,0,0,0,88.2,391,104,65,64,22,19,0,10,0,0,56,2023
683,685,684,Ryan Weathers,- - -,1,8,6.55,15,12,0,0,0,1,0,57.2,257,68,44,42,12,29,0,1,1,0,43,2023
684,686,685,Eric Lauer,MIL,4,6,6.56,10,9,0,0,0,0,0,46.2,211,54,39,34,16,24,0,0,0,0,43,2023
689,691,690,Roansy Contreras,PIT,3,7,6.59,19,11,0,0,1,0,0,68.1,302,75,50,50,11,32,1,1,3,0,55,2023
693,695,694,Luis Severino,NYY,4,8,6.65,19,18,0,0,0,0,0,89.1,417,113,73,66,23,34,1,5,1,3,79,2023
705,707,706,Carlos Carrasco,NYM,3,8,6.8,20,20,0,0,0,0,0,90.0,417,115,71,68,18,38,0,6,3,1,66,2023
709,711,710,Carlos Rodon,NYY,3,8,6.85,14,14,0,0,0,0,0,64.1,286,65,51,49,15,28,0,4,9,0,64,2023
710,712,711,Chris Flexen,- - -,2,8,6.86,29,16,0,0,0,0,0,102.1,466,133,81,78,25,38,0,4,6,0,74,2023
711,713,712,Joey Wentz,DET,3,13,6.9,25,19,0,0,0,0,0,105.2,492,131,87,81,25,47,0,0,2,2,98,2023
714,716,715,Kyle Wright,ATL,1,3,6.97,9,7,0,0,0,0,0,31.0,155,40,26,24,5,17,0,4,2,0,34,2023
715,717,716,Zach Davies,ARI,2,5,7.0,18,18,0,0,0,0,0,82.1,377,98,67,64,10,39,0,2,0,0,72,2023
719,721,720,Corey Kluber,BOS,3,6,7.04,15,9,0,0,1,0,0,55.0,257,69,47,43,17,21,0,4,1,0,42,2023
722,724,723,Hogan Harris,OAK,3,6,7.14,14,6,0,0,0,0,0,63.0,284,67,51,50,10,28,0,3,1,0,56,2023
725,727,726,Shintaro Fujinami,- - -,7,8,7.18,64,7,0,0,2,5,4,79.0,357,73,65,63,9,45,1,7,8,0,83,2023
730,732,731,Spencer Turnbull,DET,1,4,7.26,7,7,0,0,0,0,0,31.0,145,37,26,25,5,15,0,3,2,0,24,2023
738,740,739,Adam Wainwright,STL,5,11,7.4,21,21,0,0,0,0,0,101.0,484,151,89,83,20,41,0,1,1,0,55,2023
741,743,742,Connor Seabold,COL,1,7,7.52,27,13,0,0,0,0,0,87.1,408,116,76,73,19,28,1,7,5,0,67,2023
744,746,745,Kyle Muller,OAK,1,5,7.6,21,13,0,0,0,0,1,77.0,372,112,65,65,16,39,1,3,3,1,56,2023
745,747,746,Dylan Dodd,ATL,2,2,7.6,7,7,0,0,0,0,0,34.1,164,53,29,29,9,12,1,1,1,0,15,2023
747,749,748,Quinn Priester,PIT,3,3,7.74,10,8,0,0,0,0,0,50.0,234,58,43,43,12,27,0,3,5,0,36,2023
751,753,752,Drew Rom,STL,1,4,8.02,8,8,0,0,0,0,0,33.2,170,51,34,30,7,19,0,0,1,0,32,2023
758,760,759,Jose Suarez,LAA,1,3,8.29,11,7,0,0,0,0,0,33.2,165,46,32,31,10,20,1,1,2,0,28,2023
766,768,767,Noah Davis,COL,0,4,8.7,8,6,0,0,0,0,0,30.0,146,43,30,29,6,15,0,4,4,1,26,2023
771,773,772,Luis Cessa,CIN,1,4,9.0,7,6,0,0,0,0,0,26.0,132,46,26,26,3,12,0,1,2,0,11,2023
