UID,PA,Name
7349,362.0,Sean Kazmar
7476,268.4,Alex Avila
7539,145.0,Neil Walker
7739,444.6,Travis d'Arnaud
7802,551.0,Miguel Rojas
785,381.8,Todd Frazier
7859,595.6,Charlie Blackmon
7870,115.4,Jonathan Lucroy
7927,263.0,Eric Sogard
7949,133.0,Tim Beckham
7996,167.6,Jose Martinez
8090,383.8,Matt Carpenter
8202,246.8,Josh Harrison
8203,255.6,Dee Gordon
8252,295.0,Hunter Pence
8259,280.0,Kurt Suzuki
8298,291.0,Francisco Pena
8370,356.0,Dustin Pedroia
8392,327.0,Daniel Descalso
8418,153.0,Ehire Adrianza
8553,117.0,Gerardo Parra
8609,292.0,Tim Federowicz
8623,512.6,Donovan Solano
8709,544.8,Elvis Andrus
8722,295.0,Jason Castro
8879,255.0,Ryan Lavarnway
9015,359.0,Gordon Beckham
9054,464.0,Justin Smoak
9077,579.2,Lorenzo Cain
9112,383.0,Khris Davis
9134,207.4,Tyler Flowers
9166,468.8,Buster Posey
9205,174.8,Logan Morrison
9218,642.6,Paul Goldschmidt
9241,624.0,Starling Marte
9253,107.75,Keon Broxton
9256,533.8,A.J. Pollock
9272,209.6,Chris Davis
9284,75.6,Chris Herrmann
9308,177.5,Josh Phegley
9345,224.2,Brock Holt
9368,485.8,Evan Longoria
9393,128.4,Matt Adams
9433,71.0,Dustin Garneau
9627,340.8,Yan Gomes
9689,247.0,Josh Thole
9774,465.4,Christian Vazquez
9776,292.6,Jason Kipnis
9777,650.0,Nolan Arenado
9785,605.0,Kyle Seager
9787,231.0,Steven Baron
9810,229.8,Brian Dozier
9847,582.6,Andrew McCutchen
9856,421.0,Brandon Snyder
9874,638.0,DJ LeMahieu
9892,302.2,Jay Bruce
9927,432.2,Brett Gardner
9929,225.2,Darin Ruf
9952,369.0,Trayce Thompson
sa3002722,446.0,Lazaro Alonso
sa3002726,504.0,Alan Trejo
sa3002758,573.0,Mason McCoy
sa3002834,453.0,Brock Lundquist
sa3002836,469.0,Evan Mendoza
sa3002878,454.0,Irving Lopez
sa3002883,453.0,Zach Jarrett
sa3003171,316.0,Christopher Morel
sa3003191,311.0,Ivan Herrera
sa3003195,422.0,Freudis Nova
sa3003290,455.0,Geraldo Perdomo
sa3003295,418.0,Jose Devers
sa3003437,469.0,Yoel Yanqui
sa3003950,355.0,Luke Burch
sa3003959,435.0,Cullen Large
