UID,IP,Name
14332,40.3333333333,Joel Payamps
14338,31.5,Williams Jerez
14353,1.0,Caleb Frare
14361,60.65,Ty Blach
1437,1.0,Joaquin Benoit
14371,51.5,Jake Thompson
14374,155.4,Tyler Glasnow
14375,60.6,Amir Garrett
14382,1.0,Wei-Chung Wang
14391,55.15,Yohander Mendez
14399,20.1,Robinson Leyer
14420,1.0,Jackson Stephens
14443,1.0,Kyuji Fujikawa
14444,168.06,Hyun-Jin Ryu
14449,14.65,Chris Smith
14457,32.35,Adam Conley
14460,1.0,Matt Ramsey
14470,1.0,Jose Valdez
14506,62.14,J.B. Wendelken
14508,25.85,Randy Rosario
14509,45.6,Dereck Rodriguez
14510,1.0,Thyago Vieira
14524,59.94,Jose Leclerc
14527,77.66,Jorge Lopez
14532,68.7,Felix Jorge
14542,52.6,Carlos Estevez
14545,17.46,Dakota Bacus
14552,20.75,Jose Ruiz
14605,50.86,James Hoyt
14646,61.66,Rowan Wick
14663,45.06,Chi Chi Gonzalez
14665,27.5,Jandel Gustave
14672,25.0,Dillon Maples
14677,62.94,Duane Underwood Jr.
14681,39.5,Andres Machado
14682,35.15,Luis Perdomo
14696,42.94,Keone Kela
14697,1.0,Severino Gonzalez
14699,1.0,Jonathan Aro
14706,34.4,Anthony Banda
14707,36.6666666667,Brady Lail
14710,63.86,Edwin Diaz
14711,1.0,Jamie Callahan
14719,59.34,Ty Buttrey
14733,1.0,Jose Fernandez
14739,47.66,Paul Blackburn
14741,19.15,Tyler Olson
14764,43.15,Wes Parsons
14765,133.94,Julio Urias
14771,62.94,Emilio Pagan
14776,1.0,Brad Goldberg
1478,1.0,Felix Doubront
14808,1.0,Ryan Eades
14812,1.0,Barrett Astin
14814,60.94,Buck Farmer
14825,48.85,Dylan Covey
1483,1.0,Jon Edwards
14832,14.4,Bobby Wahl
14843,114.0,Michael Lorenzen
14844,16.15,Matt Dermody
14857,20.65,Joe Mantiply
14860,1.0,Kyle Martin
14862,52.86,Zack Godley
14867,18.5,Nick Rumbelow
14874,24.65,Sam Moll
14875,132.26,Caleb Smith
14899,30.6,Taylor Williams
14914,1.0,Jason Hursh
14916,150.94,Jon Gray
14932,1.0,Ben Lively
14934,59.0,Aaron Blair
14957,1.0,Jose Torres
14962,1.0,Rookie Davis
14966,56.2,Reyes Moronta
14974,54.54,Tyler Webb
14975,130.0,Chad Kuhl
14986,61.26,Giovanny Gallegos
14993,64.94,Scott Barlow
15006,1.0,Luis Santos
15007,6.33333333333,Yacksel Rios
15009,42.74,Kyle Finnegan
15010,51.14,Corey Knebel
15015,57.34,Alex Reyes
15028,1.0,Victor Alcantara
15033,15.0,Kyle Crockett
15036,49.35,Chase De Jong
15038,187.14,German Marquez
15042,4.0,Tim Mayza
15043,62.14,Lou Trivino
15046,42.6,Trevor Gott
15047,72.74,Austin Voth
15051,16.66,Silvino Bracho
15066,30.0,Jaime Schultz
15068,58.66,Yency Almonte
1507,1.0,John Lackey
15071,59.86,Kyle McGowin
15091,35.46,Hunter Wood
15094,45.65,Rob Zastryzny
15100,20.675,Ben Heller
15101,33.65,Luke Farrell
15118,17.825,Jimmie Sherfy
15126,1.0,Tyler Danish
15130,1.0,Drew Anderson
15136,41.66,Jake Newberry
15139,30.0,Ashton Goudeau
1514,35.4,Oliver Perez
15145,50.825,Justin Topa
15157,33.15,Jimmy Yacabonis
15158,49.15,Braden Shipley
15166,51.65,Luiz Gohara
15179,1.0,Daniel Wright
15200,28.575,Glenn Sparkman
15203,19.25,Tyler Bashlor
15215,1.0,Kevin McGowan
15231,45.2,Aaron Slegers
15232,42.94,Cody Reed
15239,1.0,Alan Busenitz
15240,22.34,Kevin McCarthy
15256,38.2,Cole Sulser
15258,28.35,Shane Carle
15264,49.325,Keynan Middleton
15267,25.65,Jacob Rhame
15285,40.15,Zac Reininger
15288,50.66,Adam Cimber
15290,32.6,Austin Pruitt
15291,143.6,Steven Brault
15301,1.0,Layne Somsen
15306,27.15,Donnie Hart
15378,1.0,Kyle Lloyd
15423,163.86,Andrew Heaney
15440,168.66,Matthew Boyd
15444,14.65,Zack Weiss
15451,62.14,Mike Mayers
15454,97.66,Nick Pivetta
15458,16.35,Ricardo Rodriguez
15463,57.26,Jose De Leon
15467,174.0,Marco Gonzales
15474,176.0,Lucas Giolito
15488,162.06,Antonio Senzatela
15492,52.65,Stephen Gonsalves
15502,39.4,Kohl Stewart
15507,62.175,Hunter Harvey
15514,65.14,Kendall Graveman
15524,1.0,Jen-Ho Tseng
15538,56.2,Eric Yardley
15541,64.26,Tyler Rogers
15542,1.0,Chad Girodo
15551,24.15,Mark Leiter
15552,62.8,Chad Green
15570,1.0,Troy Scribner
15594,61.4,Nick Wittgren
15603,1.0,Ariel Hernandez
15605,61.14,Phillips Valdez
15627,51.15,Dillon Overton
15639,1.0,Dan Slania
15655,51.0,Yefry Ramirez
15684,62.54,Miguel Castro
15688,1.0,Ronald Herrera
15689,181.94,Luis Castillo
15690,38.54,Jimmy Cordero
15734,163.94,Brad Keller
15761,57.06,Joe Jimenez
15764,69.35,Masahiro Tanaka
15792,21.35,Rob Kaminsky
1581,47.4,Sean Doolittle
15816,65.0,Devin Williams
15821,53.3333333333,Dario Agrazal
15823,20.6,Zack Littell
15832,57.925,Paul Fry
15846,95.66,Adam Plutko
15853,1.0,Jesen Therrien
15855,56.6,Wander Suero
15859,15.94,Stephen Tarpley
15873,147.4,Sean Manaea
15885,36.65,Fernando Romero
15890,89.94,Luis Severino
15906,82.0,Lewis Thorpe
15915,16.175,Victor Arano
15947,43.6,Ryne Stanek
15949,21.85,D.J. Snelten
15964,63.2,Keury Mella
16017,1.0,Odrisamer Despaigne
16058,64.86,Stefan Crichton
16074,6.0,Nick Burdi
16086,18.0,Edubray Ramos
16106,17.5,Cy Sneed
16110,103.86,Daniel Ponce de Leon
16122,58.94,Jordan Romano
16125,52.15,Chris Ellis
16128,56.0,John Curtiss
16130,27.0,David Hess
16132,28.85,Justin Shafer
16135,27.35,Brandon Leibrandt
16137,89.2,Carlos Rodon
16149,188.66,Aaron Nola
16155,3.0,Eric Skoglund
16159,50.74,Jace Fry
16162,166.46,Brandon Woodruff
16164,25.66,Daniel Gossett
16165,1.0,Max Povse
16166,59.0,Chandler Shepherd
16201,28.85,Justin Anderson
16207,154.34,Spencer Turnbull
16208,1.0,Brandon Finnegan
16215,11.15,Jacob Lindgren
16218,1.0,Brett Graves
16233,111.4,Tejay Antone
16256,163.0,Kyle Freeland
16258,61.54,Aaron Bummer
16265,41.26,Sam Howard
16269,154.8,John Means
16300,32.0,Jesus Tinoco
16306,45.25,Gerardo Reyes
16309,39.35,Austen Williams
16317,1.0,Alex McRae
16318,1.0,Ricardo Pinto
16344,1.0,Eduardo Paredes
16348,1.0,Gabriel Moya
16350,64.54,Ryan Borucki
16358,145.2,Tyler Mahle
16377,67.94,Ryan Castellani
16390,35.2,Brad Wieck
16400,80.6,Reynaldo Lopez
16401,60.0,Yonny Chirinos
16408,65.5,Victor Gonzalez
16418,60.0,Blake Taylor
16419,44.15,Chih-Wei Hu
1642,1.0,Francisco Rodriguez
16427,27.74,Scott Blewett
16432,51.85,Foster Griffin
16440,22.6,James Norwood
16452,1.0,Matt Wotherspoon
16459,20.0,Joe Harvey
16468,1.0,Trevor Oaks
16470,28.85,Roel Ramirez
16502,159.86,Ryan Yarbrough
16507,33.54,Dan Altavilla
16511,123.86,Jordan Montgomery
16513,12.35,Nick Gardewine
16532,28.85,Harrison Musgrave
16561,116.46,Austin Gomber
16587,49.74,Erik Swanson
16588,36.0,Jonathan Holder
16609,34.0,Bryan Abreu
16610,36.06,J.P. Feyereisen
16618,29.5,Kyle Bird
16631,32.6,Jeff Brigham
16634,20.175,Carlos Sanabria
16647,55.2,Ryan Thompson
16668,30.85,James Bourque
16684,1.0,Zac Curtis
16687,24.15,Dean Deetz
16703,63.34,Julian Merryweather
16727,42.0,Brock Stewart
16731,37.0,Artie Lewicki
16768,27.5,Montana DuRapau
16793,28.85,Kyle McGrath
16794,33.2,Josh James
16814,49.8,Tim Hill
16840,38.825,Cameron Hill
16850,26.85,Locke St. John
16866,28.5,Reed Garrett
16873,1.0,Eric Stout
16877,1.0,Greg Mahle
16904,43.65,Aaron Wilkerson
16918,135.2,Luke Weaver
16929,40.0,Touki Toussaint
16933,134.2,Elieser Hernandez
16942,40.5,Luis Ortiz
16943,49.2,Sean Newcomb
16958,31.35,Jake Jewell
16977,121.54,Trevor Williams
16980,52.65,Daniel Mengden
16981,65.34,Tyler Beede
17002,1.0,Trevor Hildenberger
17018,28.74,Jefry Rodriguez
17030,61.85,Ariel Jurado
17034,30.06,Sean Reid-Foley
17035,54.26,Joseph Palumbo
17085,154.86,Pablo Lopez
17117,18.8,Austin Davis
17126,15.15,Jerry Vasto
17130,63.4,Raisel Iglesias
17133,1.0,Osmer Morales
17149,106.26,Domingo German
17169,23.74,Jose Castillo
17170,18.325,Gabe Speier
17181,46.6,Yoan Lopez
17186,134.74,Dinelson Lamet
17192,53.85,Jalen Beeks
17233,1.0,Brian Ellington
17237,45.54,Austin Brice
1726,1.0,Jose Valverde
17264,36.6,Sam Coonrod
1727,1.0,Edgar Gonzalez
17277,52.8,Ranger Suarez
17281,49.65,Thomas Pannone
17282,95.6,Michael Kopech
17285,149.66,Justus Sheffield
17292,29.7666666667,Javier Guerra
17295,147.54,Framber Valdez
17303,10.0,Francis Martes
17313,32.85,Merandy Gonzalez
17345,43.15,Luis Escobar
17355,35.14,Edgar Santana
17359,40.94,Josh Taylor
17369,57.06,Brett Martin
17418,1.0,David Paulino
17425,84.86,Erick Fedde
17432,75.94,Jeff Hoffman
17464,72.34,Jonathan Hernandez
17466,55.35,Heath Fillmyer
17470,18.4,Chad Sobotka
17479,176.46,Jack Flaherty
17485,36.5,Albert Abreu
17490,52.6,Genesis Cabrera
17496,64.46,Diego Castillo
17505,61.66,Jorge Guzman
17508,29.15,Wei-Chieh Huang
17526,1.0,Ariel Miranda
17536,23.0,Ryan Burr
17553,56.65,Andrew Moore
17556,51.06,Jimmy Herget
17578,129.54,Jonathan Brubaker
17581,54.65,Ricardo Sanchez
17585,63.74,Jordan Yamamoto
17586,62.94,Tanner Scott
17594,141.86,Mitch Keller
17606,125.14,Cristian Javier
17610,61.46,Tanner Rainey
17611,51.66,Taylor Clarke
17664,1.0,Cody Carroll
17677,19.4,Jeffrey Springs
17679,39.8,Rogelio Armenteros
17695,1.0,Koda Glover
17697,1.0,Pedro Araujo
1773,1.0,Sergio Mitre
17732,58.15,Nabil Crismatt
17734,22.0,Evan Phillips
17735,67.86,Tyler Alexander
17754,39.0,Sandy Baez
17755,17.5,Drew Smith
17759,25.825,Angel Perdomo
17775,1.0,Jacob Nix
17780,55.4,Jose Alvarado
17792,24.94,Patrick Weigel
17793,28.0,Trey Wingenter
17796,62.14,Dillon Tate
17811,24.0,Daniel Zamora
17821,13.26,Jose Mujica
1783,1.0,Chad Gaudin
17859,108.74,Adbert Alzolay
17860,1.0,Jose Rodriguez
17861,23.54,Franklyn Kilome
17871,29.2,Ian Gibaut
17874,1.0,Nestor Cortes
17877,1.0,Brett Kennedy
17878,39.8,Dennis Santana
17897,16.4333333333,Garrett Cleavinger
17920,88.34,Cody Ponce
17942,1.0,Adonis Rosa
17948,74.2,Trent Thornton
17968,37.0,Brock Burke
17969,71.5,Peter Lambert
17987,1.0,Bobby Poyner
17995,132.0,Logan Webb
17998,61.86,Peter Fairbanks
18,14.825,Neftali Feliz
18000,121.74,Triston McKenzie
18029,1.0,Tanner Anderson
18064,60.54,Phil Maton
18076,48.0,Matt Hall
18088,58.0,Cody Stashak
18105,23.35,Ryan Meisinger
18114,28.85,Ben Taylor
18135,36.6666666667,Chance Adams
18138,55.66,Ryan Helsley
18152,68.66,Anthony Misiewicz
18213,1.0,P.J. Conlon
18251,17.3333333333,Art Warren
18256,32.85,Zac Grotz
18282,57.86,Jarlin Garcia
18297,51.94,Tyler Kinley
18300,57.15,Andrew Suarez
18306,24.2333333333,Taylor Guilbeau
18311,41.26,Carson Fulmer
18313,54.5,Pedro Payano
18318,25.0,Jacob Waguespack
18323,15.54,Josh Sborz
18325,56.4,Taylor Hearn
18331,34.0,James Kaprielian
18332,1.0,Eric Hanhold
18333,75.0,Alex Young
18335,66.54,Josh Staumont
18337,61.0,Nick Anderson
18347,20.8,Brandon Waddell
18356,64.8,Jaime Barria
18361,37.6,Tom Eshelman
1837,1.0,Matt Belisle
18383,134.46,Mike Soroka
18403,55.35,Enyel De Los Santos
1841,45.15,Edwin Jackson
18413,142.26,Jose Urquidy
18454,1.0,Trevor Kelley
18496,26.325,Junior Fernandez
18498,163.06,Kenta Maeda
18510,1.0,Josh Rogers
18519,16.175,Phil Bickford
1852,1.0,Ryan Madson
18525,136.94,Dylan Cease
18555,106.46,Logan Allen
18581,36.825,Travis Bergen
18592,24.175,Hector Perez
18600,48.14,Travis Lakins
18655,59.06,A.J. Minter
18674,47.54,Jake Woodford
18679,106.94,Freddy Peralta
18684,175.74,Sandy Alcantara
18694,107.4,Kolby Allard
18699,69.14,Nick Neidert
18719,1.0,Seunghwan Oh
18790,41.0,Dillon Peters
18792,22.15,Miguel Del Pozo
18806,19.0,Drew Steckenrider
18815,32.15,Miguel Diaz
18820,50.5,Chris Rowley
18854,1.0,Ben Meyer
1886,1.0,Sean Burnett
18864,44.35,Pedro Avila
18873,33.8,Beau Burrows
18890,21.575,Kyle Keller
1890,122.8,Matt Moore
19159,17.575,Zack Burdi
19191,31.2,Robert Dugger
19199,34.2,Conner Menez
19200,22.675,Jose Quijada
19206,78.35,Dakota Hudson
19225,29.46,Mitchell White
19231,39.66,Caleb Baragar
19243,53.66,Wes Benjamin
19244,32.325,Cole Irvin
19249,15.8,Seranthony Dominguez
19256,26.35,Gerson Bautista
19261,15.075,Ian Hamilton
19264,43.4,Thomas Hatch
19266,60.86,Taylor Widener
19268,121.74,Justin Dunn
19269,43.06,T.J. Zeuch
19274,49.925,Jacob Webb
19276,34.325,Edgar Garcia
19277,1.0,Jesus Reyes
19285,1.0,Kyle Dowdy
19291,163.94,Zac Gallen
19309,60.46,Trevor Richards
19311,45.65,Reggie McClain
19312,114.4,Cal Quantrill
19316,115.14,Eric Lauer
19320,93.6,Joey Lucchesi
19330,22.5,Matthew Festa
19337,42.54,Richard Lovelady
19341,37.0,Hector Velazquez
19343,67.66,A.J. Puk
19345,66.86,Daulton Jefferies
19349,32.5,Caleb Ferguson
19350,132.06,Dean Kremer
19361,142.74,Corbin Burnes
19362,123.2,Keegan Akin
19374,164.66,Walker Buehler
19388,94.0,Tony Gonsolin
19403,35.35,Colin Poche
19409,129.34,Dane Dunning
19427,194.74,Shane Bieber
1943,183.0,Zack Greinke
19444,39.575,Yohan Ramirez
19447,67.34,Patrick Sandoval
19453,48.06,Shaun Anderson
19456,30.86,Kyle Funkhouser
19457,58.075,Bryan Garcia
19459,55.54,Jorge Alcala
19479,143.86,Aaron Civale
19482,1.0,Andrew Vasquez
19487,77.6,Devin Smeltzer
19495,50.85,Michael Shawaryn
1953,1.0,Raul Valdes
19541,28.25,Jimmy Lambert
19545,1.0,Stephen Nogosek
19546,34.54,Jon Duplantier
19548,20.65,J. D. Hammer
19550,1.0,Adam McCreery
19558,29.06,Geoff Hartlieb
19561,41.14,Bernardo Flores Jr.
19569,40.25,David Bednar
19574,45.0,JoJo Romero
19582,28.25,Brandon Bailey
19583,59.54,Sean Poppen
19614,28.8,Cionel Perez
19618,53.06,Jordan Hicks
19642,31.65,Eduardo Jimenez
19646,36.425,Kyle Hart
19647,55.325,Matt Foster
19665,113.8,Kyle Wright
19671,44.15,Sterling Sharp
19675,1.0,James Marvel
19677,61.675,Gregory Soto
19680,134.54,Sixto Sanchez
19686,72.66,Kyle Cody
19712,37.0,Patrick Murphy
19716,114.06,Dustin May
19731,38.325,Kodi Whitley
1975,1.0,Josh Judy
19753,58.5,Jonathan Loaisiga
19755,83.86,Shohei Ohtani
19756,30.2333333333,Yoshihisa Hirano
19757,1.0,Kazuhisa Makita
19766,27.325,Seth Elledge
19789,43.35,Anthony Castro
19800,102.4,Wil Crowe
19805,38.925,Daniel Castano
19814,12.0,David McKay
19820,1.0,C.D. Pelham
